temp,core freq,arm freq,volt,sec
57.0,199.99512,600.16992,0.835,260
58.0,500.000992,1500.345728,0.8563,262
58.0,500.000992,1500.398464,0.8563,264
58.0,199.99512,600.117184,0.835,266
59.0,200.008304,600.16992,0.835,268
58.0,500.000992,1500.398464,0.8563,270
59.0,500.000992,1500.345728,0.8563,272
58.0,199.99512,600.117184,0.835,274
56.0,199.99512,600.117184,0.835,276
58.0,500.000992,1500.345728,0.8563,278
58.0,500.000992,1500.345728,0.8563,280
58.0,199.99512,750.146496,0.8563,282
57.0,199.99512,750.146496,0.8563,284
58.0,500.000992,1500.398464,0.8563,286
59.0,500.000992,1500.398464,0.8563,288
59.0,500.000992,1500.345728,0.8563,290
59.0,500.000992,1500.345728,0.8563,292
59.0,500.000992,1500.345728,0.8563,294
58.0,200.008304,600.117184,0.835,296
59.0,500.000992,1500.345728,0.8563,298
58.0,500.000992,1500.398464,0.8563,300
58.0,200.008304,600.16992,0.835,302
57.0,199.99512,600.117184,0.835,304
58.0,500.000992,1500.345728,0.8563,306
59.0,500.000992,1500.345728,0.8563,308
58.0,200.008304,600.16992,0.835,310
59.0,500.000992,1500.345728,0.8563,312
58.0,500.000992,1500.398464,0.8563,314
58.0,200.008304,600.16992,0.835,316
58.0,500.000992,1500.345728,0.8563,318
59.0,500.000992,1500.345728,0.8563,320
58.0,199.99512,600.16992,0.835,322
58.0,500.000992,1500.398464,0.8563,324
58.0,500.000992,1500.398464,0.8563,326
58.0,199.99512,600.16992,0.835,328
58.0,199.99512,600.117184,0.835,330
58.0,499.987808,1500.345728,0.8563,332
59.0,500.000992,1500.345728,0.8563,334
58.0,200.008304,600.16992,0.835,336
58.0,500.000992,1500.345728,0.8563,338
58.0,500.000992,1500.345728,0.8563,340
58.0,199.99512,600.117184,0.835,342
58.0,500.000992,1500.345728,0.8563,344
58.0,500.000992,1500.345728,0.8563,346
58.0,200.008304,600.16992,0.835,348
59.0,500.000992,1500.398464,0.8563,350
60.0,500.000992,1500.398464,0.8563,352
58.0,199.99512,600.16992,0.8563,354
58.0,200.008304,600.117184,0.8563,356
58.0,500.000992,1500.345728,0.8563,358
59.0,500.000992,1500.345728,0.8563,360
57.0,199.99512,600.16992,0.835,362
58.0,500.000992,1500.398464,0.8563,364
59.0,500.000992,1500.398464,0.8563,366
58.0,250.000496,750.199232,0.8563,368
59.0,500.000992,1500.398464,0.8563,370
58.0,500.000992,1500.345728,0.8563,372
58.0,199.99512,600.117184,0.835,374
58.0,199.99512,600.16992,0.835,376
58.0,199.99512,600.117184,0.835,378
57.0,200.008304,600.117184,0.8563,380
56.0,199.99512,600.117184,0.835,382
57.0,199.99512,600.16992,0.835,384
58.0,199.99512,600.117184,0.835,386
58.0,500.000992,1500.345728,0.8563,388
58.0,500.000992,1500.345728,0.8563,390
57.0,199.99512,600.117184,0.835,392
58.0,500.000992,1500.345728,0.8563,394
58.0,500.000992,1500.345728,0.8563,396
58.0,199.99512,750.146496,0.8563,398
58.0,199.99512,600.117184,0.835,400
58.0,500.000992,1500.345728,0.8563,402
57.0,500.000992,1500.345728,0.8563,404
58.0,500.000992,1500.345728,0.8563,406
59.0,500.000992,1500.345728,0.8563,408
60.0,499.987808,1500.398464,0.8563,410
57.0,199.99512,600.117184,0.8563,412
58.0,199.99512,600.16992,0.835,414
58.0,500.000992,1500.398464,0.8563,416
58.0,500.000992,1500.398464,0.8563,418
58.0,199.99512,600.16992,0.835,420
57.0,199.99512,600.16992,0.835,422
59.0,500.000992,1500.345728,0.8563,424
58.0,500.000992,1500.345728,0.8563,426
58.0,199.99512,750.199232,0.8563,428
58.0,199.99512,600.16992,0.835,430
59.0,500.000992,1500.398464,0.8563,432
58.0,500.000992,1500.398464,0.8563,434
58.0,200.008304,1500.345728,0.8563,436
57.0,500.000992,1500.398464,0.8563,438
60.0,500.000992,1500.398464,0.8563,440
59.0,199.99512,600.117184,0.835,442
59.0,500.000992,1500.345728,0.8563,444
58.0,500.000992,1500.398464,0.8563,446
58.0,199.99512,600.117184,0.835,448
58.0,500.000992,1500.398464,0.8563,450
59.0,500.000992,1500.398464,0.8563,452
58.0,250.000496,750.146496,0.8563,454
58.0,499.987808,1500.398464,0.8563,456
59.0,500.000992,1500.398464,0.8563,458
58.0,199.99512,600.16992,0.835,460
58.0,200.008304,600.16992,0.835,462
58.0,500.000992,1500.345728,0.8563,464
58.0,500.000992,1500.345728,0.8563,466
59.0,199.99512,600.16992,0.835,468
59.0,499.987808,1500.345728,0.8563,470
59.0,500.000992,1500.398464,0.8563,472
58.0,199.99512,600.117184,0.835,474
57.0,199.99512,600.16992,0.835,476
58.0,500.000992,1500.345728,0.8563,478
58.0,500.000992,1500.398464,0.8563,480
58.0,199.99512,600.16992,0.8563,482
58.0,200.008304,600.16992,0.835,484
58.0,500.000992,1500.345728,0.8563,486
59.0,500.000992,1500.345728,0.8563,488
59.0,500.000992,1500.345728,0.8563,490
59.0,499.987808,1500.345728,0.8563,492
58.0,500.000992,1500.398464,0.8563,494
58.0,499.987808,1500.345728,0.8563,496
58.0,500.000992,1500.398464,0.8563,498
59.0,500.000992,1500.345728,0.8563,500
59.0,500.000992,1500.398464,0.8563,502
59.0,500.000992,1500.345728,0.8563,504
59.0,199.99512,600.16992,0.835,506
58.0,500.000992,1500.345728,0.8563,508
59.0,500.000992,1500.398464,0.8563,510
58.0,199.99512,600.16992,0.835,512
59.0,500.000992,1500.345728,0.8563,514
59.0,500.000992,1500.345728,0.8563,516
59.0,199.99512,600.117184,0.835,518
58.0,500.000992,1500.398464,0.8563,520
58.0,500.000992,1500.398464,0.8563,522
59.0,199.99512,600.117184,0.8563,524
57.0,200.008304,600.16992,0.835,526
57.0,250.000496,750.199232,0.8563,528
58.0,500.000992,1500.345728,0.8563,530
58.0,500.000992,1500.345728,0.8563,532
57.0,200.008304,600.16992,0.835,534
57.0,500.000992,1500.398464,0.8563,536
58.0,500.000992,1500.345728,0.8563,538
58.0,199.99512,600.117184,0.835,540
59.0,500.000992,1500.345728,0.8563,542
